rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
003,64973,14,0.00797249,12.0006,12,1.33333,1,2,0.222222,18.6667,0,28,174.222,1,3,3600,11
003,69929,14,0.00398644,13.0003,13,1,1,1,0,13.5,0,27,182.25,1,2,3600,12
003,70764,15,0.00398644,14.0003,14,1,1,1,0,7.5,0,15,56.25,1,2,3600,13
003,74532,15,0,15,15,NA,0,0,NA,0,0,0,0,1,1,3600,14
003,75524,18,0.00797249,16.0006,16,1.33333,1,2,0.222222,14.6667,0,22,107.556,1,3,3600,15
003,87647,19,0.00797249,17.0006,17,1.33333,1,2,0.222222,24,0,36,288,1,3,3600,16
003,87907,21,0.0112537,18.0008,18,1.5,1,2,0.25,17.25,0,23,99.1875,1,4,3600,17
003,94580,20,0.00398644,19.0003,19,1,1,1,0,18.5,0,37,342.25,1,2,3600,18
003,96607,23,0.0112537,20.0008,20,1.5,1,2,0.25,24,0,32,192,1,4,3600,19
004,32,2,0.00797249,0.000555556,0,1.33333,1,2,0.222222,21.3333,0,32,227.556,1,3,3600,-1
004,6408,2,0.00398644,1.00028,1,1,1,1,0,9,0,18,81,1,2,3600,0
004,9593,5,0.0112537,2.00083,2,1.5,1,2,0.25,20.25,0,27,136.688,1,4,3600,1
004,11027,5,0.00797249,3.00056,3,1.33333,1,2,0.222222,18,0,27,162,1,3,3600,2
004,14300,5,0.00398644,4.00028,4,1,1,1,0,8.5,0,17,72.25,1,2,3600,3
004,24354,5,0,5,5,NA,0,0,NA,0,0,0,0,1,1,3600,4
004,33374,6,0,6,6,NA,0,0,NA,0,0,0,0,1,1,3600,5
004,34290,9,0.00797249,7.00056,7,1.33333,1,2,0.222222,13.3333,0,20,88.8889,1,3,3600,6
004,37928,12,0.0152392,8.00111,8,1.6,1,2,0.24,24,0,30,144,1,5,3600,7
004,39855,15,0.0225061,9.00167,9,1.71429,1,2,0.204082,16.2857,0,19,44.2041,1,7,3600,8
004,40799,10,0,10,10,NA,0,0,NA,0,0,0,0,1,1,3600,9
004,42974,18,0.025787,11.0019,11,1.75,1,2,0.1875,14.875,0,17,31.6094,1,8,3600,10
004,44103,13,0.00398644,12.0003,12,1,1,1,0,11.5,0,23,132.25,1,2,3600,11
004,53354,14,0.00398644,13.0003,13,1,1,1,0,13.5,0,27,182.25,1,2,3600,12
