rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
022,41355,2499,8.05388,1080.48,939,201.203,1,302,10077,186.355,68.052,2376.07,26677,1,455,3600,-1
023,13584,1974,7.91404,340.291,115,322.655,1,462,26135.1,218.025,101.887,841.565,5665.6,1,440,3600,-1
023,17676,2146,8.01368,442.623,147,375.461,1,611,53035.7,222.676,93.1394,711.256,8894.4,1,450,3600,115
023,31535,2686,8.11901,798.586,294,556.702,1,1031,194500,237.31,107.446,786.515,5185.41,1,472,3600,147
024,30637,2274,8.02815,800.657,554,289.257,1,513,38221.8,201.903,90.1072,697.379,5436.72,1,444,3600,-1
024,38789,2534,8.10445,1001.43,715,356.151,1,592,52637,210.468,92.6271,704.695,5638.89,1,456,3600,554
024,82531,3991,7.7678,1403.29,894,654.714,1,1065,139768,928.186,488.037,2122.69,85507.7,1,406,3600,715
025,28369,2250,8.01564,720.198,471,308.642,1,525,40472.5,196.232,82.4538,843.187,6626.39,1,458,3600,-1
026,10770,1825,7.93358,281.468,52,282.956,1,483,35697.2,200.807,64.2939,604.186,9474.14,1,461,3600,-1
026,15252,1899,8.03277,395.098,219,241.117,1,372,14920.5,200.86,78.2787,575.589,4287.64,1,442,3600,52
026,18549,2141,8.01382,479.142,238,333.406,1,499,29404.1,219.081,93.5935,646.315,6472.27,1,456,3600,219
026,30221,2270,7.96249,771.372,555,234.881,1,454,20092.7,193.485,82.2535,1122.52,11307.5,1,441,3600,238
026,30934,2256,7.96668,787.903,645,197.113,1,300,9147.33,189.893,64.5397,1262.31,10955.9,1,462,3600,555
026,59685,3768,7.93624,1229.05,696,657.353,1,1117,173421,712.26,373.762,4805.38,176266,1,438,3600,645
027,11323,1621,8.02619,297.521,71,248.786,1,471,34251.8,176.088,58.0122,802.342,5523.27,1,468,3600,-1
027,17755,2030,7.81119,471.092,262,300.116,1,438,23077.4,219.254,96.8679,988.602,7532.89,1,409,3600,71
027,28153,2145,7.95625,746.118,565,232.448,1,379,16590.3,193.672,77.0918,505.345,4721.95,1,423,3600,262
028,11060,1673,7.99478,289.215,29,294.729,1,543,48711.7,191.815,84.6074,825.518,5233.67,1,455,3600,-1
028,21377,2337,8.04023,559.619,225,366.003,1,676,48155,228.797,110.737,563.883,4577.27,1,453,3600,29
028,22888,2154,7.89264,600.105,373,319.876,1,473,26797.2,216.383,99.7105,764.177,4790.75,1,425,3600,225
028,33083,2355,8.03474,857.386,618,271.797,1,497,35579,202.245,65.0883,1518.49,15494.3,1,453,3600,373
028,35390,2265,8.02553,920.653,776,209.626,1,311,10286.6,175.316,75.0448,483.024,3722.8,1,444,3600,618
028,40448,2653,8.10543,1051.94,790,312.656,1,546,46291.5,199.306,70.2987,6362.13,85263.5,1,469,3600,776
029,10817,1781,8.01535,276.882,22,316.981,1,530,40481,206.62,82.3864,505.034,4449.74,1,439,3600,-1
029,18677,1683,7.99036,486.431,382,152.066,1,226,5504.01,157.578,46.761,671.938,4953.72,1,449,3600,22
029,34502,2230,7.92563,900.636,602,342.907,1,623,63938.1,193.189,73.464,591.411,4437.38,1,436,3600,382
029,56403,3661,7.77774,1205.53,783,516.913,1,889,90345.1,649.964,258.475,2176.28,55532.6,1,439,3600,602
029,68183,3916,7.8778,1309.43,845,586.212,1,976,122197,771.757,338.337,1993.66,55405.3,1,439,3600,783
030,13719,1659,8.05168,355.682,207,202.138,1,315,10799.6,176.015,59.9422,760.956,4289.65,1,457,3600,-1
031,7686,1572,8.04773,202.207,52,191.43,1,316,12150.5,181.242,42.7395,632.129,6779.03,1,462,3600,-1
031,12173,1722,8.1852,317.736,150,214.383,1,351,14354,175.582,67.583,583.546,5548.82,1,479,3600,52
031,14597,1778,7.98131,386.708,226,211.031,1,346,13279.3,170.337,53.7515,786.798,6696.85,1,456,3600,150
031,22894,2426,7.98129,606.057,277,419.336,1,672,69570.8,234.572,94.9707,656.32,8101.82,1,445,3600,226
031,28531,2159,8.07821,769.514,543,187.203,1,463,21498.2,179.654,69.2932,587.831,5545.89,1,478,3600,277
031,29512,2078,8.00359,798.58,694,142.92,1,227,4514.63,180.043,49.4048,915.926,5908.98,1,435,3600,543
031,31823,2179,8.09322,862.707,762,134.279,1,216,3724.64,164.31,46.2995,654.856,4684.1,1,478,3600,694
031,34315,2298,7.94823,929.651,794,202.969,1,287,7650.14,185.838,72.1179,510.688,4028.93,1,449,3600,762
032,22830,2293,8.23306,599.648,160,505.619,1,901,142353,214.029,97.2261,564.001,3915.31,1,503,3600,-1
032,29746,2380,8.10221,784.401,513,324.104,1,561,41462.5,203.847,82.4226,546.56,4785.1,1,462,3600,160
032,32354,2269,7.96335,847.579,604,251.527,1,508,28640.5,182.693,73.0896,463.517,3391.53,1,456,3600,513
032,35341,2536,7.93783,921.461,731,261.128,1,398,16170,212.767,80.4669,817.832,6551.47,1,458,3600,604
032,36461,2365,7.95536,952.2,761,248.47,1,398,21594.4,193.035,71.892,805.935,9436.83,1,439,3600,731
032,52708,2992,7.63769,1181.67,912,348.558,1,566,31883.7,581.411,247.586,1590.25,42962.2,1,399,3600,761
032,73907,3727,7.79658,1339.59,974,493.318,1,767,64487.9,741.104,353.281,2668.51,101524,1,445,3600,912
033,8577,1534,8.05552,215.717,52,202.547,1,340,12691.7,170.823,62.6714,694.382,4873.11,1,454,3600,-1
033,10981,1531,8.07273,279.868,160,163.7,1,262,6531.01,169.874,52.0169,541.489,4213.96,1,466,3600,52
033,28954,2343,7.96003,767.282,597,242.316,1,358,16314.8,193.413,58.5711,1105.37,8591.79,1,459,3600,160
033,91164,4387,7.70185,1492.63,930,736.177,1,1148,167516,979.99,457.709,9204.35,388499,1,421,3600,597
034,9417,1668,8.04467,246.111,62,243.945,1,391,18608.8,183.186,65.3049,609.398,5775.52,1,463,3600,-1
034,19630,2324,8.01797,510.628,157,294.665,1,720,52139.8,234.37,73.5245,1282.33,22342,1,462,3600,62
034,20445,1915,7.9313,533.716,353,207.519,1,371,15614.1,190.266,65.2514,789.021,8237.53,1,445,3600,157
