rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,7398,750,6.57488,418.698,416,5.29491,1,12,2.77679,50.7694,0.407725,92.0129,517.896,1,305,3600,412
001,7478,797,6.78759,422.447,417,8.08505,1,19,12.1473,55.9075,0.751424,172,1121.71,1,321,3600,416
001,7600,808,6.44383,427.955,420,11.9068,1,21,19.0715,53.7127,2.39723,170.667,942.191,1,312,3600,417
001,7617,802,6.32057,428.851,421,12.2303,1,22,29.6079,51.7452,1.77749,148.91,640.699,1,310,3600,420
001,7722,813,6.59622,433.108,422,14.0802,1,29,54.5273,60.0545,2.55198,170.845,915.541,1,305,3600,421
001,7830,770,6.2658,440.446,431,7.96619,1,20,14.3965,48.5429,0.88013,232,824.382,1,297,3600,422
001,7831,770,6.25129,440.484,434,8.10622,1,20,15.1918,48.4903,0.584515,135.04,726.284,1,301,3600,431
001,7947,811,6.41742,447.411,437,10.39,1,21,18.2471,52.6783,1.23155,206.5,850.062,1,305,3600,434
001,7958,786,6.02849,448.395,440,10.3699,1,22,21.2226,50.1367,1.02949,175.389,696.586,1,292,3600,437
001,7998,771,6.13033,450.929,442,6.77656,1,23,18.4027,53.7558,0.726851,160.25,588.75,1,281,3600,440
001,8057,778,5.95228,453.807,449,7.60392,1,15,7.01693,57.9818,0.539855,149,915.175,1,288,3600,442
001,8140,777,5.40135,458.709,450,6.83938,1,22,21.1899,61.6658,0.899185,187.235,854.535,1,277,3600,449
001,8175,782,6.35616,460.68,456,5.23303,1,13,3.48569,55.9549,0.507092,143,784.912,1,296,3600,450
001,8204,799,6.59791,461.888,458,6.89823,1,15,4.78739,52.739,0.537037,145,738.788,1,304,3600,456
001,8270,794,5.6466,466.743,459,10.7321,1,20,24.1798,52.4978,1.14761,194,1004.36,1,275,3600,458
001,8339,829,6.76983,470.173,463,6.92077,1,20,10.6314,54.3499,0.558031,117.167,725.122,1,320,3600,459
001,8395,850,6.71544,473.196,466,10.6656,1,20,14.2657,52.3885,1.67327,175.016,860.388,1,313,3600,463
001,8400,828,6.59746,473.543,467,11.012,1,20,15.1539,52.5372,1.61317,178.01,801.763,1,298,3600,466
