rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,7029,699,5.2978,350.689,342,6.40217,1,21,7.4856,64.4866,0.967365,197.22,1324.67,1,293,3600,335
001,7110,673,5.84274,354.609,346,6.60806,1,19,8.60671,66.5165,0.962176,224.07,1457.41,1,274,3600,342
001,7202,760,5.97483,358.695,352,7.86367,1,18,11.7436,66.4841,0.83965,220,1176.21,1,333,3600,346
001,7321,744,5.9049,363.899,355,13.3507,1,23,23.7008,63.2226,2.98585,263.02,1514.47,1,309,3600,352
001,7366,727,5.95804,366.003,356,11.3892,1,27,35.1781,61.291,1.69143,308,1289.88,1,293,3600,355
001,7479,706,5.52409,372.369,360,6.4907,1,25,14.6715,58.383,1.11111,180.917,1299.62,1,294,3600,356
001,7529,708,5.89545,375.304,367,7.42672,1,16,7.8811,51.4482,0.662295,202,881.201,1,306,3600,360
001,7541,717,5.85377,376.141,369,8.07626,1,18,9.83489,51.6843,0,162,890.643,1,307,3600,367
001,7628,726,5.25102,379.256,371,8.9957,1,22,34.8046,67.8349,0.920489,206.09,1146.2,1,310,3600,369
001,7774,718,5.51719,389.542,377,5.65523,1,25,8.10506,57.0691,0.987837,277,876.442,1,282,3600,371
001,7795,710,5.66509,390.585,385,5.86115,1,16,5.63298,59.9176,0,151,802.509,1,271,3600,377
001,7863,751,5.98885,392.392,388,7.9778,1,17,6.85673,61.4666,1.19098,161.103,1043.45,1,315,3600,385
001,7981,802,5.30216,399.231,389,5.26329,1,21,10.0923,60.395,0.858516,248.091,1262.76,1,343,3600,388
001,8052,740,5.5326,404.874,395,6.93795,1,22,13.1978,54.3631,0.65625,160.101,1055.93,1,296,3600,389
001,8113,728,5.71548,408.761,398,6.67786,1,24,8.09845,57.8587,0,221,1156.52,1,277,3600,395
001,8131,738,5.57187,409.858,402,6.8899,1,17,7.5117,56.1986,0.560554,152.25,887.164,1,293,3600,398
001,8184,760,5.68848,413.111,405,6.84598,1,20,11.2713,53.2049,0.63109,184,937.246,1,310,3600,402
001,8190,778,5.86959,413.198,406,7.13366,1,20,11.0531,54.3443,0.63648,167.023,821.409,1,320,3600,405
001,8252,727,5.17979,417.426,410,6.89809,1,17,12.4552,59.255,0.783784,183,908.429,1,263,3600,406
001,8261,709,5.32766,418.042,411,5.99234,1,18,11.1183,58.1269,0.721992,161.054,924.506,1,257,3600,410
001,8366,755,5.82882,421.708,415,8.56822,1,18,9.38785,61.3838,1.4737,223,1233.97,1,291,3600,411
001,8397,774,5.76418,423.283,417,10.6957,1,19,16.3319,65.6426,2.27695,214,1621.48,1,308,3600,415
001,8579,802,5.88361,431.262,418,7.50964,1,30,25.0448,67.0931,1.28456,247.458,1540.56,1,311,3600,417
001,8640,783,5.16565,435.723,427,7.89393,1,19,12.7368,56.5164,0.81557,180.141,1259.62,1,296,3600,418
001,8651,757,5.16255,436.044,428,6.65037,1,18,11.8805,55.2,0.983172,216,1399.56,1,268,3600,427
001,8667,757,5.23879,436.998,429,6.42422,1,19,10.7826,54.9309,0.873785,207,1040.14,1,271,3600,428
